median;mean;std;rxns;;;;;;;
0;5.31E-05;0.000766151;ADENYLYLSULFATASE_RXN_c;0;;;;;;
0;0;0;ADENYLYLSULFKIN_RXN_c;0;;;;;;
0;0;0;ADENYLYLSULFKIN_RXN_p;0;;;;;;
0;0;0;ADOMET_DMK_METHYLTRANSFER_RXN_c;0;;;;;;
0;4.98E-07;1.21E-05;ADP_DEAMINASE_RXN_c;0;;;;;;
0;-1.41E-13;1.11E-11;ADPREDUCT_RXN_c;0;;;;;;
0;-2.97E-05;0.000658265;ADP_pc;0;;;;;;
0;1.60E-06;3.49E-05;AGMATIN_RXN_c;0;;;;;;
0;1.74E-06;3.62E-05;AGMATINE_DEIMINASE_RXN_c;0;;;;;;
0;8.69E-06;5.20E-05;AICARSYN_RXN_p;0;;;;;;
4.26E-05;5.14E-05;5.21E-05;AICARTRANSFORM_RXN_p;0.000893924;;;;;;
0;-8.69E-06;5.20E-05;AIRCARBOXY_RXN_p;0;;;;;;
0;8.69E-06;5.20E-05;AIRS_RXN_p;0;;;;;;
0;0;0;ALANINE__GLYOXYLATE_AMINOTRANSFERASE_RXN_x;0;;;;;;
0.000172957;0.000173115;1.68E-06;ALANINE__TRNA_LIGASE_RXN_c;0.003630688;;;;;;
-0.000100528;-5.53E-05;0.000688312;ALANINE_AMINOTRANSFERASE_RXN_c;-0.002110277;;;;;;
0;6.12E-06;0.000118374;ALANINE_AMINOTRANSFERASE_RXN_m;0;;;;;;
0;0;0;ALANINE_AMINOTRANSFERASE_RXN_x;0;;;;;;
0;0;0;ALCOHOL_DEHYDROG_RXN_c;0;;;;;;
0.00142093;0.001073562;0.00103161;ALDOSE_1_EPIMERASE_RXN_c;0.029827945;;;;;;
0;0;0;ALDOSE_6_PHOSPHATE_REDUCTASE_NADPH_RXN_c;0;;;;;;
0;3.39E-05;0.000462422;ALDOSE1EPIM_RXN_c;0;;;;;;
0;1.25E-06;1.99E-05;ALLANTOATE_DEIMINASE_RXN_c;0;;;;;;
0;7.45E-06;4.82E-05;ALLANTOICASE_RXN_c;0;;;;;;
0;8.69E-06;5.20E-05;ALLANTOINASE_RXN_c;0;;;;;;
0;0;0;ALLENE_OXIDE_CYCLASE_RXN_c;0;;;;;;
0;0;0;ALLYL_ALCOHOL_DEHYDROGENASE_RXN_c;0;;;;;;
0;2.07E-05;0.000158096;ALLYSINE_DEHYDROG_RXN_c;0;;;;;;
0;0;0;ALPHA_AMYL_RXN_p;0;;;;;;
0;0;0;ALPHAGALACTOSID_RXN_c;0;;;;;;
0;3.56E-15;3.56E-13;AMINO_OH_HYDROXYMETHYL_DIHYDROPTERIDINE_mc;0;;;;;;
0;7.75E-06;8.58E-05;AMINOBUTDEHYDROG_RXN_c;0;;;;;;
0;0;0;AMINOGLYCOSIDE_N6_ACETYLTRANSFERASE_RXN_c;0;;;;;;
0;0;0;AMMONIA_vc;0;;;;;;
0;7.64E-06;4.90E-05;AMP_DEAMINASE_RXN_c;0;;;;;;
0;2.75E-05;0.000587912;AMP_DEPHOSPHORYLATION_RXN_c;0;;;;;;
4.26E-05;5.14E-05;5.21E-05;AMPSYN_RXN_p;0.000893924;;;;;;
4.52E-06;0.000104517;0.00049461;AMP_ATP_xc;9.47836E-05;;;;;;
0;0;0;AMP_biomass;0;;;;;;
0;-0.001334702;0.00208761;AMP_pc;0;;;;;;
0;0;0;ANTHRANILATE_N_METHYLTRANSFERASE_RXN_c;0;;;;;;
2.70E-05;2.70E-05;4.51E-07;ANTHRANSYN_RXN_p;0.000565971;;;;;;
0;-2.58E-14;2.58E-12;APIGNAR_RXN_c;0;;;;;;
0;8.27E-06;0.000229267;APYRASE_RXN_c;0;;;;;;
0;0;0;ARABINOSE_biomass;0;;;;;;
0;1.53E-06;1.74E-05;ARACHIDIC_ACID_xc;0;;;;;;
